Trial,Item,SentenceBefore,SentenceAfter,IA_ID,Condition,List,Positive,Negative,Unrelated,Target,Comprehension,,,,,,,,,,,,,,
16,16,The dog trainer talked with a slightly wobbly tone to the customers.,The dog trainer talked with a slightly wobbly tone to the customers.,8,Neu/Neu,1,.,.,.,wobbly,Did the dog trainer speak to the customers in a condescending tone?,,,,,,,,,,,,,,
17,17,The woman told us that the photo exhibit was about herbal themes and topics.,The woman told us that the photo exhibit was about blurry themes and topics.,11,P/Neu,1,herbal,.,.,blurry,Was the photo exhibit about diverse themes?,,,,,,,,,,,,,,
18,18,Every story in the book described putrid scenes of a mountain town.,Every story in the book described spooky scenes of a mountain town.,7,N/Neu,1,.,putrid,.,spooky,Were the book's stories about picturesque mountain scenes?,,,,,,,,,,,,,,
19,19,The man came across at first as extremely touchy but nevertheless he was friendly.,The man came across at first as extremely chubby but nevertheless he was friendly.,9,UnNeu/Neu,1,.,.,touchy,chubby,"Initially, did the man come across as intimidating?",,,,,,,,,,,,,,
20,20,Amanda's reputation in town was that she was quite tireless but that wasn't true.,Amanda's reputation in town was that she was quite tireless but that wasn't true.,1,Neu/Neu,1,.,.,.,tireless,Is Amanda's reputation in town undeservedly negative?,,,,,,,,,,,,,,
21,21,The song created skillful effects on anyone listening.,The song created adequate effects on anyone listening.,4,P/Neu,1,skillful,.,.,adequate,Was the song listened to?,,,,,,,,,,,,,,
22,22,People seem to think that Sharon's business practices are fairly wasteful but they aren't.,People seem to think that Sharon's business practices are fairly inactive but they aren't.,11,N/Neu,1,.,wasteful,.,inactive,Do people comment on Sharon's business practices?,,,,,,,,,,,,,,
23,23,We overheard the babysitter describe our son as rather lanky to her friend.,We overheard the babysitter describe our son as rather naive to her friend.,1,UnNeu/Neu,1,.,.,lanky,naive,Was the babysitter a private person?,,,,,,,,,,,,,,
24,24,The media tends to depict the colleges campus culture as pretty ongoing this year.,The media tends to depict the colleges campus culture as pretty ongoing this year.,12,Neu/Neu,1,.,.,.,ongoing,Are college campuses discussed in the news?,,,,,,,,,,,,,,
25,25,The bus driver came off as pretty civic to most passengers.,The bus driver came off as pretty gruff to most passengers.,8,P/Neu,1,civic,.,.,gruff,Do the passengers sing together?,,,,,,,,,,,,,,
26,26,We talked about how the neighbor's dog was really unkind for hours.,We talked about how the neighbor's dog was really freaky for hours.,1,N/Neu,1,.,unkind,.,freaky,Was the neighbor's dog talked aboout?,,,,,,,,,,,,,,
27,27,The book was all about abdominal structures and had lots of useful illustrations.,The book was all about synthetic structures and had lots of useful illustrations.,6,UnNeu/Neu,1,.,.,abdominal,synthetic,Was the book useful?,,,,,,,,,,,,,,
28,28,The expert told us that those instructions were all pretty condensed and removed them.,The expert told us that those instructions were all pretty condensed and removed them.,11,Neu/Neu,1,.,.,.,condensed,Did the expert give us new instructions?,,,,,,,,,,,,,,
29,29,Our volunteers are used to working around thankful animals that were born in captivity.,Our volunteers are used to working around indecent animals that were born in captivity.,8,P/Neu,1,thankful,.,.,indecent,Were the volunteers helpful?,,,,,,,,,,,,,,
30,30,The uncles opinions are quite unpopular when it comes to properly cooking chicken.,The uncles opinions are quite notorious when it comes to properly cooking chicken.,6,N/Neu,1,.,unpopular,.,notorious,Were my uncles quiet?,,,,,,,,,,,,,,
31,31,"In her opinion, their new hire was slightly rowdy and needed more training.","In her opinion, their new hire was slightly inept and needed more training.",9,UnNeu/Neu,1,.,.,rowdy,inept,Was the new hire discussed?,,,,,,,,,,,,,,
32,32,The lawyer testified that her client was given statutory treatment by the jury.,The lawyer testified that her client was given statutory treatment by the jury.,9,Neu/Neu,1,.,.,.,statutory,Did the lawyer run away?,,,,,,,,,,,,,,
33,33,On the playground the teacher believed the boy acted without courteous intentions often.,On the playground the teacher believed the boy acted without primitive intentions often.,11,P/Neu,1,courteous,.,.,primitive,Was the teacher involved during recess?,,,,,,,,,,,,,,
34,34,The flavor of the coffee beans became loveless after they were fully roasted.,The flavor of the coffee beans became palpable after they were fully roasted.,8,N/Neu,1,.,loveless,.,palpable,Was the coffee any good?,,,,,,,,,,,,,,
35,35,The message of the book described frivolous things that were relatable.,The message of the book described pragmatic things that were relatable.,7,UnNeu/Neu,1,.,.,frivolous ,pragmatic,Was the book useful?,,,,,,,,,,,,,,
36,36,The gas station in town was always sketchy and was often avoided by children.,The gas station in town was always sketchy and was often avoided by children.,8,Neu/Neu,1,.,.,.,sketchy,Was the gas station open?,,,,,,,,,,,,,,
37,37,The physician was concerned about the patient's strategic treatment the next day.,The physician was concerned about the patient's unbridled treatment the next day.,8,P/Neu,1,strategic,.,.,unbridled,Was the physician concerned?,,,,,,,,,,,,,,
38,38,He said that her claims about his health were generally frightful but he engaged.,He said that her claims about his health were generally unfounded but he engaged.,11,N/Neu,1,.,frightful,.,unfounded,Were her claims ignored?,,,,,,,,,,,,,,
39,39,Our great aunt's flammable opinions were something I remember with great detail.,Our great aunt's countless opinions were something I remember with great detail.,4,UnNeu/Neu,1,.,.,flammable,countless,Does my aunt remember anything?,,,,,,,,,,,,,,
40,40,The customers arriving for the early-bird special were largely ardent every Tuesday morning.,The customers arriving for the early-bird special were largely ardent every Tuesday morning.,1,Neu/Neu,1,.,.,.,ardent,Were the customers there late?,,,,,,,,,,,,,,
41,41,My next-door neighbor could be described as fairly fruitful in terms of his education.,My next-door neighbor could be described as fairly cerebral in terms of his education.,9,P/Neu,1,fruitful,.,.,cerebral,Was my next-door neighbor discussed?,,,,,,,,,,,,,,
42,42,The families opinions of drugs seemed to be quite brutish after the movie.,The families opinions of drugs seemed to be quite genetic after the movie.,1,N/Neu,1,.,brutish,.,genetic,Did people change their perspective before the film?,,,,,,,,,,,,,,
43,43,The professor told our class that generally speaking insistent students attended the meeting.,The professor told our class that generally speaking intensive students attended the meeting.,9,UnNeu/Neu,1,.,.,insistent,intensive,Did the professor speak to our class?,,,,,,,,,,,,,,
44,44,The meeting notes described previous remarks and opinions from the previous hearing.,The meeting notes described previous remarks and opinions from the previous hearing.,5,Neu/Neu,1,.,.,.,previous,Were the meeting notes inaccurate?,,,,,,,,,,,,,,
45,45,Her massage practice was regarded as somewhat tangible by her clientele.,Her massage practice was regarded as somewhat sluggish by her clientele.,8,P/Neu,1,tangible,.,.,sluggish,Did her clientele think about her practice?,,,,,,,,,,,,,,
46,46,The people who set up the soccer game were quite hopeless while completing tasks.,The people who set up the soccer game were quite variable while completing tasks.,11,N/Neu,1,.,hopeless,.,variable,Did people leave the soccer game?,,,,,,,,,,,,,,
47,47,The patient described their anterior treatment at the hospital.,The patient described their infrared treatment at the hospital.,5,UnNeu/Neu,1,.,.,anterior,infrared,Was the patient in the hospital?,,,,,,,,,,,,,,
48,48,My friend started making clinical purchases and spent lots of money.,My friend started making clinical purchases and spent lots of money.,5,Neu/Neu,1,.,.,.,clinical,Did my friend save her money?,,,,,,,,,,,,,,
49,49,The mayor promised to make laws about managing masterful policies to implement change.,The mayor promised to make laws about managing political policies to implement change.,9,P/Neu,1,masterful,.,.,political,Did the mayor make campaign promises?,,,,,,,,,,,,,,
50,50,The speech that was given appeared unclear to the group of listeners.,The speech that was given appeared unheard to the group of listeners.,7,N/Neu,1,.,unclear,.,unheard,Did the audience leave?,,,,,,,,,,,,,,
51,51,The general made an announcement that the military should enlist messages from foreign powers.,The general made an announcement that the military should disarm messages from foreign powers.,1,UnNeu/Neu,1,.,.,enlist,disarm,Did the general make an announcement?,,,,,,,,,,,,,,
52,52,The main character in the story had to totally oppose at the end.,The main character in the story had to totally oppose at the end.,1,Neu/Neu,1,.,.,.,oppose,Did the main character have to totally reinvent themselves at the end?,,,,,,,,,,,,,,
53,53,Landscapers will often sustain certain areas over others.,Landscapers will often uncover certain areas over others.,4,P/Neu,1,sustain,.,.,uncover,Do landscapers often prioritize certain areas over others?,,,,,,,,,,,,,,
54,54,The psychologist says her patients sometimes suppress their early memories in their sessions.,The psychologist says her patients sometimes compile their early memories in their sessions.,7,N/Neu,1,.,suppress,.,compile,Does the psychologist say her patients sometimes repress their early memories?,,,,,,,,,,,,,,
55,55,"Usually, obstacles should never require a person using a blowtorch.","Usually, obstacles should never suspend a person using a blowtorch.",5,UnNeu/Neu,1,.,.,require,suspend,Should obstacles never deter a person using a blowtorch?,,,,,,,,,,,,,,
56,56,The people at the wedding somehow always adjourn the get-together.,The people at the wedding somehow always adjourn the get-together.,8,Neu/Neu,1,.,.,.,adjourn,Do people at the wedding always celebrate the get-together?,,,,,,,,,,,,,,
57,57,As an antique dealer he had to often acquire certain high-end clientele.,As an antique dealer he had to often absolve certain high-end clientele.,9,P/Neu,1,acquire,.,.,absolve,Does an antique dealer often need to appraise certain high-end clientele?,,,,,,,,,,,,,,
58,58,"In Ohio the people betraying the power of officers, often wanting something.","In Ohio the people overpower the power of officers, often wanting something.",5,N/Neu,1,.,betraying,.,overpower,"In Ohio, do people respect the authority of officers?",,,,,,,,,,,,,,
59,59,The boy said grouping up could unravel how he feels.,The boy said grouping up could dictate how he feels.,7,UnNeu/Neu,1,.,.,unravel,dictate,Could grouping up change how the boy feels?,,,,,,,,,,,,,,
60,60,The man's ideas tended to generally overlook the discussion each week.,The man's ideas tended to generally overlook the discussion each week.,7,Neu/Neu,1,.,.,.,overlook,Do the man's ideas usually enhance the discussion each week?,,,,,,,,,,,,,,
61,61,She asked her patient why he felt the need to always strive in relationships.,She asked her patient why he felt the need to always comply in relationships.,12,P/Neu,1,strive,.,.,comply,Does the patient feel the need to always dominate in relationships?,,,,,,,,,,,,,,
62,62,The leaders with opposing ideas decided they shouldn't inflict their ideas yet.,The leaders with opposing ideas decided they shouldn't combine their ideas yet.,9,N/Neu,1,.,inflict,.,combine,Have the leaders with opposing ideas agreed to merge their ideas?,,,,,,,,,,,,,,
63,63,Our volunteers will often initially blacken the animals they rescue from the wild.,Our volunteers will often initially migrate the animals they rescue from the wild.,6,UnNeu/Neu,1,.,.,blacken,migrate,Do volunteers often rehabilitate the animals they rescue from the wild?,,,,,,,,,,,,,,
64,64,"At the fair, the family should abstain themselves only temporarily to be safe.","At the fair, the family should abstain themselves only temporarily to be safe.",7,Neu/Neu,1,.,.,.,abstain,"At the fair, should the family limit their time spent to be safe?",,,,,,,,,,,,,,
65,65,"We will probably either restore our feelings, or we will not.","We will probably either divulge our feelings, or we will not.",5,P/Neu,1,restore,.,.,divulge,Will we express our feelings openly?,,,,,,,,,,,,,,
66,66,The officer wouldn't often detain upon certain affairs that he didn't like.,The officer wouldn't often recoil upon certain affairs that he didn't like.,5,N/Neu,1,.,detain,.,recoil,Does the officer often intervene in affairs he dislikes?,,,,,,,,,,,,,,
67,67,The teenagers decided they might infer the information that they received.,The teenagers decided they might churn the information that they received.,6,UnNeu/Neu,1,.,.,infer,churn,Might the teenagers ignore the information they received?,,,,,,,,,,,,,,
68,68,I tried very hard to simply beseech the people to attain their loyalty.,I tried very hard to simply beseech the people to attain their loyalty.,7,Neu/Neu,1,.,.,.,beseech,Did I manage to gain the loyalty of the people?,,,,,,,,,,,,,,
69,69,Matthew said in college he couldn't expedite his previous decision.,Matthew said in college he couldn't withdraw his previous decision.,7,P/Neu,1,expedite,.,.,withdraw,Was Matthew able to justify his previous decision in college?,,,,,,,,,,,,,,
70,70,The goal of the signed agreement was to truly decompose the old rules.,The goal of the signed agreement was to truly stipulate the old rules.,1,N/Neu,1,.,decompose,.,stipulate,Was the goal of the signed agreement to uphold the old rules?,,,,,,,,,,,,,,
71,71,Our friend knew she couldn't apologize in public so she waited.,Our friend knew she couldn't calibrate in public so she waited.,6,UnNeu/Neu,1,.,.,apologize,calibrate,"Did our friend know she should not sing in public, so she waited?",,,,,,,,,,,,,,
72,72,The academic said it was a good idea to sometimes disengage work from class.,The academic said it was a good idea to sometimes disengage work from class.,11,Neu/Neu,1,.,.,.,disengage,Is it sometimes beneficial to ignore work from class according to the academic?,,,,,,,,,,,,,,
73,73,Because she was nervous she couldn't learn from them with much certainty.,Because she was nervous she couldn't evade from them with much certainty.,7,P/Neu,1,learn,.,.,evade,"Because she was nervous, could she communicate with them with certainty?",,,,,,,,,,,,,,
74,74,Despite their best attempts they didn't disturb the evidence in the presentation.,Despite their best attempts they didn't magnify the evidence in the presentation.,7,N/Neu,1,.,disturb,.,magnify,"Despite their best attempts, did they highlight the evidence in the presentation?",,,,,,,,,,,,,,
75,75,Jeanine truly loved gossip and would often rummage through drama.,Jeanine truly loved gossip and would often isolate through drama.,8,UnNeu/Neu,1,.,.,rummage,isolate,Does Jeanine often instigate drama?,,,,,,,,,,,,,,
76,76,My dog will usually wield anything small and soft in its presence.,My dog will usually wield anything small and soft in its presence.,5,Neu/Neu,1,.,.,.,wield,Will my dog usually ignore anything small and soft?,,,,,,,,,,,,,,
77,77,"When arguments come up, we always befriend our feelings which helps us move forward.","When arguments come up, we always converge our feelings which helps us move forward.",7,P/Neu,1,befriend,.,.,converge,"Do we conceal our feelings during arguments, helping us move forward?",,,,,,,,,,,,,,
78,78,The campaign manager told the senator he couldn't publicly fumble the policy.,The campaign manager told the senator he couldn't publicly govern the policy.,1,N/Neu,1,.,fumble,.,govern,Could the campaign manager publicly endorse the policy?,,,,,,,,,,,,,,
79,79,"After falling down, the dancer will either resume her dance or not.","After falling down, the dancer will either assume her dance or not.",8,UnNeu/Neu,1,.,.,resume,assume,"After falling, might the dancer continue her dance?",,,,,,,,,,,,,,
80,80,Henry reminded us to try to never preach the expectations of our customers.,Henry reminded us to try to never preach the expectations of our customers.,8,Neu/Neu,1,.,.,.,preach,Did Henry advise us to always meet the expectations of our customers?,,,,,,,,,,,,,,
81,81,The family reunion might rekindle their closeness.,The family reunion might postpone their closeness.,5,P/Neu,1,rekindle,.,.,postpone,Could the family reunion affect their closeness?,,,,,,,,,,,,,,
82,82,She was certain that her coworker could endanger the new plan.,She was certain that her coworker could allocate the new plan.,8,N/Neu,1,.,endanger,.,allocate,Was her coworker able to comprehend the new plan?,,,,,,,,,,,,,,
83,83,Artificial intelligence may partially diminish employment for the American middle class.,Artificial intelligence may partially vanquish employment for the American middle class.,5,UnNeu/Neu,1,.,.,diminish,vanquish,May artificial intelligence completely replace employment for the American middle class?,,,,,,,,,,,,,,
84,84,Daniel thought they couldn't vacate the plan until everyone was present.,Daniel thought they couldn't vacate the plan until everyone was present.,5,Neu/Neu,1,.,.,.,vacate,Were they able to proceed with the plan before everyone was present?,,,,,,,,,,,,,,
85,85,The manager realized he wouldn't adapt the beliefs of his employees.,The manager realized he wouldn't imply the beliefs of his employees.,6,P/Neu,1,adapt,.,.,imply,Would the manager adopt the beliefs of his employees?,,,,,,,,,,,,,,
86,86,He explained that he would probably terminate the business plan.,He explained that he would probably reiterate the business plan.,7,N/Neu,1,.,terminate,.,reiterate,Was he likely to abandon the business plan?,,,,,,,,,,,,,,
87,87,She told her assistant that he would never assemble without her supervision.,She told her assistant that he would never medicate without her supervision.,9,UnNeu/Neu,1,.,.,assemble,medicate,Was her assistant informed about needing supervision?,,,,,,,,,,,,,,
88,88,It is pretty common for some kids to sometimes outrank other children at school.,It is pretty common for some kids to sometimes outrank other children at school.,1,Neu/Neu,1,.,.,.,outrank,Is it common for some children to bully other children at school?,,,,,,,,,,,,,,
89,89,The union leader said that those on strike couldn't extend change without leaders.,The union leader said that those on strike couldn't incite change without leaders.,1,P/Neu,1,extend,.,.,incite,Could those on strike effect change without leaders according to the union leader?,,,,,,,,,,,,,,
90,90,Our children tried to clearly frustrate the rules at their after-school program.,Our children tried to clearly override the rules at their after-school program.,6,N/Neu,1,.,frustrate,.,override,Were our children able to understand the rules at their after-school program?,,,,,,,,,,,,,,
91,91,Mary said her boss wanted her to partially subtract her own efforts.,Mary said her boss wanted her to partially disperse her own efforts.,9,UnNeu/Neu,1,.,.,subtract,disperse,Did Mary's boss ask her to minimize her efforts?,,,,,,,,,,,,,,
92,92,The man claimed she would truly depose after the ceremony.,The man claimed she would truly depose after the ceremony.,7,Neu/Neu,1,.,.,.,depose,Did the man claim something?,,,,,,,,,,,,,,
93,93,They tried to simply stabilize despite my advice.,They tried to simply summarize despite my advice.,5,P/Neu,1,stabilize,.,.,summarize,Did they attempt to simplify the process despite my advice?,,,,,,,,,,,,,,
94,94,The woman soon learned that her professional success might expire later in the year.,The woman soon learned that her professional success might hasten later in the year.,1,N/Neu,1,.,expire,.,hasten,Might the woman's professional success increase later in the year?,,,,,,,,,,,,,,
95,95,The team knew they couldn't repaint the trophy without getting in trouble.,The team knew they couldn't recheck the trophy without getting in trouble.,6,UnNeu/Neu,1,.,.,repaint,recheck,Did the team know they would be penalized for taking the trophy?,,,,,,,,,,,,,,
96,96,We did our best to quickly denounce the service the very next morning.,We did our best to quickly denounce the service the very next morning.,7,Neu/Neu,1,.,.,.,denounce,Were we able to expedite the service the following morning?,,,,,,,,,,,,,,
97,97,The politician promised her political platform would evolve current policies related to their cause.,The politician promised her political platform would topple current policies related to their cause.,8,P/Neu,1,evolve,.,.,topple,Would the politician's platform revise existing policies?,,,,,,,,,,,,,,
98,98,The main purpose of the meeting was to generally retaliate against the cumulative effects.,The main purpose of the meeting was to generally formulate against the cumulative effects.,1,N/Neu,1,.,retaliate,.,formulate,Was the meeting's main goal to advocate against the cumulative effects?,,,,,,,,,,,,,,
99,99,The boys shouldn't prohibit just because they are told to.,The boys shouldn't restrain just because they are told to.,4,UnNeu/Neu,1,.,.,prohibit,restrain,Should the boys act without questioning the instructions given to them?,,,,,,,,,,,,,,
100,100,The senior scientist said he couldn't dissipate the sample without ruining the experiment.,The senior scientist said he couldn't dissipate the sample without ruining the experiment.,7,Neu/Neu,1,.,.,.,dissipate,Could the senior scientist alter the sample without compromising it?,,,,,,,,,,,,,,
101,101,The old lady would sweeten every conversation in order to be listened to.,The old lady would inflate every conversation in order to be listened to.,5,P/Neu,1,sweeten,.,.,inflate,Would the old lady dominate every conversation to ensure she was heard?,,,,,,,,,,,,,,
102,102,She tried to never despise her own experience and opinions at a cost.,She tried to never unscrew her own experience and opinions at a cost.,5,N/Neu,1,.,despise,.,unscrew,Did she manage to share her experience and opinions without repercussions?,,,,,,,,,,,,,,
103,103,Every summer the campers tried to totally outdo themselves until the end of camp.,Every summer the campers tried to totally mimic themselves until the end of camp.,8,UnNeu/Neu,1,.,.,outdo,mimic,Did the campers manage to isolate themselves completely each summer?,,,,,,,,,,,,,,
104,104,"When visiting the tidepools, the kids would often retrace their route out of curiosity.","When visiting the tidepools, the kids would often retrace their route out of curiosity.",9,Neu/Neu,1,.,.,.,retrace,"When visiting tidepools, did the kids stick to their planned route?",,,,,,,,,,,,,,
105,105,"At home, we sometimes cherish each other then talk about what we can do better.","At home, we sometimes entitle each other then talk about what we can do better.",5,P/Neu,1,cherish,.,.,entitle,Do we often encourage each other at home to improve ourselves?,,,,,,,,,,,,,,
106,106,The expert told the man he needed to clearly deprive his opinions.,The expert told the man he needed to clearly defrost his opinions.,1,N/Neu,1,.,deprive,.,defrost,Did the man need to articulate his opinions more clearly?,,,,,,,,,,,,,,
107,107,After school I typically outweigh toys that I no longer like.,After school I typically submerge toys that I no longer like.,5,UnNeu/Neu,1,.,.,outweigh,submerge,Do I usually keep toys that I no longer enjoy after school?,,,,,,,,,,,,,,
108,108,The mother asked her daughter to cautiously dawdle the flowers and give them away.,The mother asked her daughter to cautiously dawdle the flowers and give them away.,8,Neu/Neu,1,.,.,.,dawdle,Was the daughter able to carefully distribute the flowers without issue?,,,,,,,,,,,,,,
109,109,"When upset, they often behave to get to a place of happiness.","When upset, they often peddle to get to a place of happiness.",5,P/Neu,1,behave,.,.,peddle,"When people are upset, do they rarely find ways to achieve happiness?",,,,,,,,,,,,,,
110,110,We don't normally starve during our guests visit.,We don't normally squint during our guests visit.,4,N/Neu,1,.,starve,.,squint,Is it unusual for us to make accommodations during our guests' visits?,,,,,,,,,,,,,,
111,111,There will always be another flyer that is discussed on TV.,There will always be another rebel that is discussed on TV.,6,UnNeu/Neu,1,.,.,flyer,rebel,Is there always a topic that gets discussed on TV?,,,,,,,,,,,,,,
112,112,I think I should stay away from every hierarchy if possible.,I think I should stay away from every hierarchy if possible.,9,Neu/Neu,1,.,.,.,hierarchy,Should I avoid every potential hazard if possible?,,,,,,,,,,,,,,
113,113,The woman seemed to know a lot about starlight and shared with the group.,The woman seemed to know a lot about artillery and shared with the group.,9,P/Neu,1,starlight,.,.,artillery,Did the woman possess extensive knowledge about the subject she discussed with the group?,,,,,,,,,,,,,,
114,114,The pamphlet was written from the perspective of a general congress and was terrible.,The pamphlet was written from the perspective of a general taxpayer and was terrible.,11,N/Neu,1,.,congress,.,taxpayer,Was the pamphlet written from an expert's perspective and well-received?,,,,,,,,,,,,,,
115,115,We tried to remember what we learned about graft management at the seminar.,We tried to remember what we learned about quote management at the seminar.,9,UnNeu/Neu,1,.,.,graft,quote,Did we successfully recall the management techniques from the seminar?,,,,,,,,,,,,,,
116,116,"In the attic, the children discovered a stash of hidden herring photographs under newspapers.","In the attic, the children discovered a stash of hidden herring photographs under newspapers.",11,Neu/Neu,1,.,.,.,herring,"In the attic, did the children find a collection of openly displayed photographs?",,,,,,,,,,,,,,
117,117,The big book was all about ancestry experts and their history.,The big book was all about clarinet experts and their history.,7,P/Neu,1,ancestry,.,.,clarinet,Was the big book focused on novices rather than experts in their field?,,,,,,,,,,,,,,
118,118,People often belittle how often one needs a special hearse to finish the job.,People often belittle how often one needs a special tassel to finish the job.,1,N/Neu,1,.,hearse,.,tassel,Is it common to require a special tool to complete tasks effectively?,,,,,,,,,,,,,,
119,119,The family set out automatic lights before another huntress was to cause commotion.,The family set out automatic lights before another darkroom was to cause commotion.,9,UnNeu/Neu,1,.,.,huntress,darkroom,Did the family prepare the automatic lights due to an expected calm evening?,,,,,,,,,,,,,,
120,120,"In the painting, the girl was standing next to the large rustler looking small.","In the painting, the girl was standing next to the large rustler looking small.",12,Neu/Neu,1,.,.,.,rustler,"In the painting, did the girl appear as large as the object next to her?",,,,,,,,,,,,,,
121,121,Their films always included an intense bouquet scene at the very end.,Their films always included an intense supplier scene at the very end.,7,P/Neu,1,bouquet,.,.,supplier,Did the films exclude any dramatic scenes at the end?,,,,,,,,,,,,,,
122,122,The very unusual taker is ridiculous and must get help soon.,The very unusual molar is ridiculous and must get help soon.,4,N/Neu,1,.,taker,.,molar,Is the unusual behavior considered normal and not in need of assistance?,,,,,,,,,,,,,,
123,123,I wonder how often a certain diagnosis is talked about in the office.,I wonder how often a certain checkbook is talked about in the office.,7,UnNeu/Neu,1,.,.,diagnosis,checkbook,Is a certain subject frequently discussed in the office?,,,,,,,,,,,,,,
124,124,Ben always thought awareness was possible.,Ben always thought awareness was possible.,4,Neu/Neu,1,.,.,.,awareness,Was Ben convinced that success was unlikely?,,,,,,,,,,,,,,
125,125,The film was about ballroom history in their country.,The film was about blizzard history in their country.,5,P/Neu,1,ballroom,.,.,blizzard,Was the film a documentary about recent history in their country?,,,,,,,,,,,,,,
126,126,The woman learned about dagger use in their city.,The woman learned about mosque use in their city.,5,N/Neu,1,.,dagger,.,mosque,Was the woman unaware of the substance use in their city?,,,,,,,,,,,,,,
127,127,She was aware of the nearby consulate but she didn't mention it to anyone.,She was aware of the nearby precipice but she didn't mention it to anyone.,7,UnNeu/Neu,1,.,.,consulate,precipice,Did she talk about the nearby event that she was aware of?,,,,,,,,,,,,,,
128,128,Their advertisement offered information on ways to change texture for a lay audience.,Their advertisement offered information on ways to change texture for a lay audience.,9,Neu/Neu,1,.,.,.,texture,Was the advertisement aimed at experts rather than a lay audience?,,,,,,,,,,,,,,
129,129,Lauren showed us her impressive ambrosia picture collection in her office.,Lauren showed us her impressive wormwood picture collection in her office.,6,P/Neu,1,ambrosia,.,.,wormwood,Did Lauren have a modest collection of pictures in her office?,,,,,,,,,,,,,,
130,130,The trunk held another stain that the woman would need to care for.,The trunk held another fryer that the woman would need to care for.,5,N/Neu,1,.,stain,.,fryer,Was the trunk empty and not requiring the woman's care?,,,,,,,,,,,,,,
131,131,The documentary maker was learning about bucket construction for the film.,The documentary maker was learning about urchin construction for the film.,7,UnNeu/Neu,1,.,.,bucket,urchin,Was the documentary maker unfamiliar with construction techniques for the film?,,,,,,,,,,,,,,
132,132,The woman asked whether their hooky experience was ever an issue.,The woman asked whether their hooky experience was ever an issue.,6,Neu/Neu,1,.,.,.,hooky,Was their extensive experience never a problem?,,,,,,,,,,,,,,
133,133,The scientist drew conclusions about the unusual skylight and shared them with others.,The scientist drew conclusions about the unusual specimen and shared them with others.,8,P/Neu,1,skylight,.,.,specimen,Did the scientist keep his conclusions about the unusual finding to himself?,,,,,,,,,,,,,,
